Duck!	頭を下げろ！
Ah, me!	ああ悲しい。
I'm sad.	悲しいです。
Naturally.	当然だよ。
Holy cow!	何てこった。
X is vital.	Xが肝要だ
Calm down.	落ち着いて。
Louder.	もっと大きくして。
I'm bored.	退屈だなあ。
I'm lonely.	淋しいです。
Calm down.	頭を冷やせよ。
Okay. Sorry.	悪かった。
Yo, my man!	よう！元気？
Yes, two.	はい、２個です。
Brilliant!	すごいじゃん。
It shines.	それが輝きを放つ
That's weird.	変なのー。
He can swim.	彼は泳げる。
Any fever?	熱はありますか。
Shame on you!	恥を知れ！
I can swim.	私は泳げます。
He got angry.	彼は怒った。
He is a poet.	彼は詩人だ。
It's cloudy.	曇っています。
I'm bored.	退屈しちゃったよ。
Excuse me.	失礼。すみません。
Flowers bloom.	花は咲く。
Can you swim?	泳げますか。
Walk slowly.	ゆっくり歩け。
Step aside.	ちょっとどいて。
He complains.	彼が文句を言う
I got angry.	ハラが立ちました
Have a cigar?	葉巻はいかが？
Heads or tails?	表か裏か。
I'm exhausted.	疲れたなあ。
This is silly!	馬鹿みたい！
Don't be angry.	怒るなよ。
I'm lonely.	私はとても寂しい。
Make hay!	今のチャンスを楽しめ！
Shut the door.	戸を閉めろ。
You may swim.	泳いでもよい。
It smells good!	いい匂い。
Excuse me.	あのー、失礼ですが。
How glad I am!	ああ嬉しい。
You're weird.	あんた変だよ。
I'm tearing up.	もう涙が出る
Dawn breaks. 	白々と夜が明ける
She got angry.	彼女は怒った。
He was brave.	彼は勇敢だった。
He got angry.	彼は腹を立てた。
He is a genius.	彼は天才だ。
Is anybody here?	誰かいる？
It's too loud.	大きすぎるわ。
I bit my lip.	私は唇を噛んだ。
I was lucky.	私は運が良かった。
Dogs can swim.	犬は泳げます。
Can you swim?	君は泳げますか。
Don't be afraid.	恐れるな。
You are a snake!	陰険な奴。
Yes, it hurts.	はい痛いです。
Yes, I know.	はい知っています。
Shut the door.	ドアを閉めて。
What a shame!	それは悲惨だな。
I suppose so.	そう思いますよ。
Yes and no.	そうですが違います。
He is nasty.	あいつは嫌な奴だ。
He can't swim.	彼は泳げない。
Dry my tears.	涙を拭いて欲しい。
Don't complain.	文句を言うな。
She is gentle.	彼女はやさしい。
He dug a hole.	彼は穴を掘った。
Naoko swims.	直子さんは泳ぎます。
For shame!	恥を知れ、みっともない。
I am exhausted.	体力が尽きた。
Pass the buck.	責任を転嫁する。
I swear, John.	誓うよ、ジョン。
Bite your tongue!	辱を知れ。
I'm a bit tired.	少し疲れた。
I felt lonely.	私は孤独だった。
I am to blame.	私が悪いんです。
I raise cattle.	牛を飼育する。
I'm freezing.	寒くて凍えそうだ。
I rear cattle.	家畜を飼育する。
Yes, you must.	はい、必要です。
That's a doll.	それは人形です。
It's freezing.	すごく寒いです。
Hey you, shut up!	おい黙れ！
I oppose it.	いや、私は反対です。
He makes sauce.	彼がソースを作る
I emphasized X.	Xを俺が強調した
He cheats people.	彼が人を騙す
I wanna go out.	遊びに行きたい。
The curtain fell.	幕が下りた。
Don't get angry.	腹を立てるな。
Don't be sad.	悲しまないで下さい。
She looks sad.	彼女は悲しそうだ。
She can't swim.	彼女は泳げない。
I have a fever.	熱があるんです。
Don't shout.	怒鳴ってはいけません。
I need somebody.	誰かきてくれ。
It is pitch dark.	真っ暗闇だ。
It's no joke.	冗談じゃないんだよ。
Autumn is here.	秋になりました。
Bold as brass.	実にずうずうしい！
May I be excused?	失礼します。
I'm all thumbs.	私は不器用です。
I am a runner.	私はランナーです。
You look bored.	君は退屈そうだ。
Beef, please.	牛肉にしてください。
I have a chill.	寒気がしますよ。
Bite the bullet.	我慢してくれ。
Here's my wallet.	ほら財布だ。
Hang onto Daddy!	パパに捕まれ。
Yes, we can go.	はい、行けます。
Tom is absent.	トムは休んでいる。
I'll be glad to.	ええ、喜んで。
Is that a bat?	あれが蝙蝠ですか。
You are stupid.	あなたは愚かだ。
Yes, I'm coming.	ああ、行くよ。
That's a bit cold.	冷たいなあ。
Tears flow down.	涙が流れている。
The curtain rose.	幕があがった。
I'm a night owl.	僕は夜型なんだ。
She shed tears.	彼女は涙を流した。
She was brave.	彼女は勇ましかった。
She is a runner.	彼女は走者です。
He seems honest.	彼は正直そうだ。
He is my uncle.	彼は私の叔父です。
He is a detective.	彼は刑事だ。
Don't oppose him.	彼に逆らうな。
I have no fever.	熱はありません。
I have a headache.	頭が痛いな。
It's a sunny day.	天気は上々だ。
Grab the bottom.	底を持ってくれ。
Is somebody there?	誰かいるの？
I'll treasure it.	大切にします。
I'm a bit tired.	少しくたびれた。
I can swim fast.	私は速く泳げる。
I paid in coin.	私は硬貨で払った。
What a scream!	最高！笑っちゃうよ。
