Wow!	すごい！
Ah, me!	ああ悲しい。
I'm sleepy!	眠い！
Terrific!	すごいぞ！
Hotshot!	たいした奴だ。
It is windy.	風が強い
Hey, you.	ちょっと、君。
Hey, relax.	落ちつきな。
Shot, huh?	撃たれたのか。
Yo, my man!	よう！元気？
After you.	お先にどうぞ。
I'm sterile.	不妊症です。
I'm anemic.	貧血気味です。
It's chilly.	肌寒いです。
I also went.	私も行った。
It's 50 yen.	５０円です。
Lighten up.	気楽にいけよ。
It's cloudy.	曇っています。
I can ski.	スキーができます。
Do I look OK?	変じゃない？
I overdo it.	自分が無理をする
Have a cigar?	葉巻はいかが？
I'm exhausted.	疲れたなあ。
He is a thief.	彼は泥棒だ。
He went to bed.	彼は寝た。
Know thyself.	汝自身を知れ。
Room for rent.	貸し間あり。
I overslept.	私は寝過ごした。
I'm a baker.	私はパン屋です。
Make hay!	今のチャンスを楽しめ！
Mummy cried.	ママは泣いたわ。
It's amazing.	すごいですね。
Hello, Tom.	こんにちは、トム。
What's a loon?	あびって何？
Unbelievable!	信じられない！
Do I look OK?	おかしくない？
Are you sleepy?	眠いですか？
She went out.	彼女は外出した。
She is curt.	彼女は愛嬌がない。
Haste is waste.	短気は損気。
I overslept.	寝過ごしちゃった。
It's bedtime.	寝る時間ですよ。
I went aboard.	私は乗船した。
He's a pushover.	甘いなあ。
It's a godsend.	運がいいね。
It looks rainy.	雨もようだ。
OK. I agree.	よろしい、賛成だ。
I'm thirsty.	のどが渇きました。
Off it went.	それは出ていった。
He is nasty.	あいつは嫌な奴だ。
See Appendix.	別表のとおりとする
It's hailing.	雹が降っています。
I like jazz.	僕はジャズが好きだ。
She went home.	彼女は帰宅した。
He dozed off.	彼は居眠りをした。
He is outgoing.	彼は外向的だ。
He is a psycho.	彼はサイコだ。
Woe betide him!	彼に災いあれ。
I'm confused.	頭が混乱している。
It's stormy.	天気は荒れています。
I went fishing.	釣りに行った。
I am exhausted.	体力が尽きた。
Pass the buck.	責任を転嫁する。
You're new, huh?	新入りだな。
I went home.	私は家に帰りました。
OK. Go ahead.	結構です。どうぞ。
I'll sue you.	君をうったえるぞ。
He is cranky.	機嫌が悪いのです。
Hi! How are you?	やあ！元気？
They are melons.	メロンです。
I'm starved.	お腹がぺこぺこです。
Hey you, shut up!	おい黙れ！
Good riddance!	いい厄介払いだ。
That's a farce.	あれは茶番だ。
Ouch! My foot!	あいたっ！足が！
You clown you.	この田舎者めが。
He cheats people.	彼が人を騙す
He's a comedian.	彼は三枚目だ。
I wanna go out.	遊びに行きたい。
I'm frantic!	目が回るほど忙しいよ。
Is everything OK?	変わりない？
She is graceful.	彼女は優雅だ。
She went home.	彼女は家に帰った。
His nose bled.	彼は鼻血を出した。
His head ached.	彼は頭痛がした。
He lost his job.	彼は失業した。
Straighten up.	背を伸ばしなさい。
You cannot lose.	損はしないよ。
Practice thrift!	節約したまえ。
You amuse me.	笑わせるじゃないか。
Bold as brass.	実にずうずうしい！
I am a runner.	私はランナーです。
I like tennis.	私はテニスが好き。
I like skiing.	私はスキーが好き。
I'm easygoing.	私ってのんきなの。
It's so exciting.	結構面白い。
Stop grumbling.	愚痴はやめろよ。
You like it, huh?	気に入った？
Lemon is sour.	レモンは酸っぱい。
Here's my wallet.	ほら財布だ。
Bob can cook.	ボブは料理ができる。
Is Bob right?	ボブは正しいですか。
Hang onto Daddy!	パパに捕まれ。
I burp a lot.	げっぷがよく出ます。
No drinkers.	お酒を飲む人はお断り。
Jesus wept.	イエスは嘆き悲しまれた。
I feel lethargic.	力が出ません。
Beware of the dog!	猛犬に注意！
Don't overdo it.	無理するなって。
I'm a night owl.	僕は夜型なんだ。
Apply a bandage.	包帯をしなさい。
I want a refund.	返金して欲しい。
She is a runner.	彼女は走者です。
She is merciful.	彼女は慈悲深い。
He felt uneasy.	彼は不安になった。
He is overweight.	彼は肥満体だ。
He is bankrupt.	彼は破産している。
His blood is up.	彼は怒っている。
He has blond hair.	彼は金髪だ。
He went abroad.	彼は外国へ行った。
He flew a kite.	彼はたこを揚げた。
He is a golfer.	彼はゴルファーだ。
It's a sunny day.	天気は上々だ。
Let's fly kites.	凧揚げをしよう。
Make haste slowly.	走れば躓く。
Shoot your wad.	全部白状しちゃえ。
It's abating.	勢いが弱まってきたね。
Excellent putt.	上手なパットだね。
I am a housewife.	私は主婦です。
I'm a salesman.	私は営業マンです。
I play tennis.	私はテニスをします。
It's OK with me.	私はいいですよ。
It's snowy today.	今日は雪です。
I'm exhausted.	気が抜けちゃったよ。
The fire went out.	火は消えた。
I think it's OK.	俺はいいと思う。
Give me a hoist.	引き上げてくれ。
Don't overdo it.	やり過ぎないで。
Hi! What's new?	やあ、調子はどう。
It hurts terribly.	ひどく痛む。
They are muddy.	どろで汚れている。
What ails you?	どこか悪いんですか。
I have hives.	じんましんが出ました。
The siren blew.	サイレンが鳴った。
A coke, please.	コークをください。
I hate karaoke.	カラオケが大嫌い。
I will sue you.	お前を告訴するぞ。
That is a pagoda.	あれは塔です。
It's a pheasant.	あれはキジです。
He's a goner.	あいつは、お仕舞いだ。
I have a hangover.	二日酔いだ。
Finders keepers.	拾った者が持ち主。
The story wandered.	話がそれた。
Live in affluence.	裕福に暮らす。
Ignorance is bliss.	無知は幸福。
I go by Itch.	僕はイチで通ってるんだ。
It's a windy day.	風の強い日です。
She went blind.	彼女は盲目になった。
She is obstinate.	彼女は強情です。
She is easygoing.	彼女はのんきだ。
He was cheating.	彼は浮気していた。
He scolded her.	彼は彼女をしかった。
He bent his back.	彼は背を曲げた。
He is introverted.	彼は内向的だ。
He is a big eater.	彼は大食漢だ。
He cannot swim.	彼は水泳が出来ない。
He is punctual.	彼は時間を守る人だ。
He kept singing.	彼は歌いつづけた。
He is a sly fox.	彼は陰険なやつだ。
His knee gave.	彼はヒザの力が抜けた。
