No!	嫌だ！
Got it!	捕まえた。
Get out!	出て行け！
Get up!	起きなさい！
Get out.	外に出ろ。
No way.	絶対無理だね。
Get down!	床に伏せろ！
How are you?	元気？
Like it?	気に入ってる？
Then what?	じゃあ何？
X is first.	Xが最初だ
Hands up!	両手をあげろ！
I am a man.	私は男だ。
I give in.	私の負けだ。
I give up.	降参します。
Then who?	では誰ですか。
X is needed.	Xが必要だ
He got it.	彼がそれを得る
All right.	承知しました。
I'm coming.	今、行くわ。
I want you.	君が欲しい。
I need you.	君が必要だ。
Come over!	家においでよ。
I am a man.	俺は人間だ。
I'm coming.	いま行くよ。
There is X.	Xが御座います
I wanted X.	Xが欲しかった
He made it.	彼は成功した。
He gave in.	彼は降参した。
I like him.	彼が好きです。
Give it up.	諦めてしまえ。
I'll get it.	私が出ます。
How goes it?	景気はどう？
You got me!	君には参るよ。
Get him!	そいつをつかまえて！
I'm coming.	すぐ参ります。
I wanted X.	Xを私が希望した
All is well.	万事よろしい。
Want to know?	聞きたいわ？
Don't give in.	負けるな。
I use it.	私はそれを使います。
We are men.	私たちは男です。
Any time.	またいつでもどうぞ。
Where is Jim?	ジムはどこ？
How are you?	ご機嫌いかが？
X is the best.	Xがベストだ
It's all over.	もうだめだ。
All is well.	万事具合がいい。
He can come.	彼なら来られる。
Don't give up!	諦めないで。
No other way.	他に道はない。
All is over.	全ては終わった。
I think so.	私はそう思います。
I said so.	私はそう言いました。
Shall we go?	行きましょうか。
I can't say.	何とも言えない。
No, no, no!	違う、違う、違う！
You don't say.	意外だねー。
How is Mary?	メアリーは元気？
You said it!	そう！その通り。
I am coming.	いま、行きます。
He will come.	彼は来るだろう。
Is he right?	彼は正しいですか。
He's out now.	彼は今いません。
Give me time.	時間をください。
Where am I?	私はどこにいるのか。
How about you?	君はどうだい？
Do your best.	ベストを尽くせ。
Where's Tony?	トニーはどこだ。
See you then.	じゃあその時に。
Come on in!	さあ、入って入って。
Come on, Tony.	さあ、トニー。
I'll take it.	これを買います。
Is it to go?	お持ち帰りですか。
Who is that man?	あの人誰？
Might is right.	力は正義なり。
That's better.	良くなりました。
He can come.	彼は来る事が出来る。
Have him come.	彼に来てもらえ。
Do as you like.	勝手にすれば？
Do it now.	今すぐそれをやりなさい。
It is seven now.	今７時です。
Won't you go?	行かないのですか。
You go first.	君から始めなさい。
Time to get up.	起きる時間よ。
What do you want?	何の用だ。
What did you say?	何だって。
You all right?	よろしいですか。
Got to go now.	もう行かないと。
I do want it.	それが是非欲しい。
That's the way.	その調子だよ。
Who's there?	そこにいるのは誰だ。
Come on, Ken.	さあ行こう、ケン。
How are you?	ご機嫌いかがですか。
How about that!	こりゃすごい！
Come right in.	お入りください。
You may go.	あなたは行ってもよい。
Come and see me.	遊びにこいよ。
All is well.	万事上手くいってます。
He saw it also.	彼もそれを見た。
He did right.	彼は正しく行動した。
He made me go.	彼は私を行かせた。
He is out now.	彼はいま外出中だ。
How's it going?	調子いいですか。
Who thinks so?	誰がそう思うのか。
Do your best.	全力を尽くしなさい。
I'll come back.	私は戻ってくる。
I go to Kyoto.	私は、京都に行く。
How's work?	仕事は調子でているかい？
Now I'm done for.	参ったなあ。
Do your best!	最善を尽くしなさい。
I'd like to go.	行きたいですね。
Think about it.	考えてください。
Take your time.	ゆっくりどうぞ。
Oh, come on.	またそんなこと言って。
Is Bob right?	ボブは正しいですか。
There is Tokyo.	そこは東京です。
Do you think so?	そう思うかい？
Don't be long.	すぐ戻ってこいよ。
Where is this?	ここは何処ですか。
No, you may not.	いや駄目です。
Come with us.	いっしょに来なさい。
Come and see me.	遊びに来なさい。
I like mahjong.	麻雀が大好きです。
I do think so.	本当にそう思います。
Will she come?	彼女は来るだろうか。
Do you want him?	彼にご用ですか。
What is he like?	彼ってどんな人？
The noes have it.	反対投票多数。
Don't be long.	早く帰ってきなさい。
It's time to go.	出かける時間よ。
It is in the way.	邪魔なのです。
Come on, Jiro.	次郎ここに来なさい。
I am out of work.	私は失業中だ。
It's April first.	四月一日です。
How are you doing?	元気ですか。
Where were you?	君はどこにいたの？
I think it's OK.	俺はいいと思う。
We have no time.	もう時間はない。
In came Mary.	メアリーが入ってきた。
Well, you can't.	まあ無理ですな。
Is it yours?	それは自分のものですか。
That won't work.	それは、無茶だ。
See you then.	その時に会いましょう。
Do come in!	さあどうぞお入りください。
What will come?	この先どうなるの。
When shall we go?	いつ行こうか。
Say 'ahhh'.	「アー」といってください。
I don't need it.	必要ありません。
He has given up X.	彼がXを諦めた
She is out now.	彼女は今外出中です。
He will also go.	彼も行くでしょう。
Who is he like?	彼は誰みたいな感じ？
He will not go.	彼は行かないだろう。
He did say so.	彼は確かにそう言った。
Where did he go?	彼はどこへ行った。
Are you all right?	大丈夫ですか？
Don't be long.	早く帰ってきなさいよ。
You get in my way?	邪魔するのか。
I got up at six.	私は6時に起きた。
I need this.	私はこれを必要としている。
Come with me.	私といっしょに来なさい。
Do as you like.	好きにしてください。
What do you want?	君は何がほしい。
What did you make?	何を作ったの？
What do you want?	何のご用ですか。
What do you need?	何が必要ですか。
Take your time.	ゆっくりやってくれ。
What did you say?	なんて言ったの？
I don't think so.	ないと思うけど。
How are you doing?	どう？近ごろ。
No, that's all.	それだけで結構です。
Come on, get up.	さあ、起きなさい。
Ken has made it.	ケンは間に合った。
When do you work?	いつ働いてるの？
No, you don't.	いいえ、言ってないわ。
Who is that man?	あの人は誰ですか。
That won't work!	それは行かんわい！
She liked it.	彼女はそれが好きでした。
I took to her.	僕は彼女が好きになった。
They know us.	彼らは私達を知っています。
They are at work.	彼らは仕事中です。
He will come back.	彼は戻ってくる。
What is he like?	彼はどんな人ですか。
He shall have it.	彼にそれをやろう。
May I come in?	入ってもよろしいですか。
No one thinks so.	誰もそう思わない。
As time goes by.	時の過ぎゆくままに。
I work with him.	私は彼と仕事をする。
I liked Tony.	私はトニー君が好きだった。
We made him go.	私たちは彼を行かせた。
Are you working?	仕事をしていますか。
Do you want to go?	行きたいですか。
You have to go.	行かなければならない。
Do as you like.	好きなようにしなさい！
You have to go.	君は行かねばならない。
You go first.	君がまずさきに行ってくれ。
What do you want?	何が欲しいですか。
What do you like?	何がお好きですか。
How should I know?	俺は知らないよ。
Are you there?	もしもし、来ていますか。
That is well said.	まさにその通り。
How is it going?	どう上手くいってる？
I don't get it.	どうも合点がいかない。
Don't say that.	そんなこと言わないで。
Don't you think so?	そう思わない？
How have you been?	お元気でしたか。
Who is that man?	あの男性は誰ですか。
Give me five days.	五日待ってくれ。
5 is less than 8.	５は８より少ない。
I'll come by 10.	１０時までに来ます。
The time is right.	時間がちょうど良い
I think I'm right.	僕が正しいと思う。
I can't see well.	物がよく見えません。
I think he'll come.	彼は来ると思う。
He is not all there.	彼は気が変だ。
He has gone out.	彼は外出してしまった。
What did he say?	彼は何と言いましたか。
He is doing well.	彼の仕事は順調です。
I'll take your EEG.	脳波をとります。
I come from Japan.	日本から来ました。
How are you doing?	調子はどうですか。
Who will you go with?	誰と行くの。
I will do my best.	全力を尽くします。
I couldn't get it.	手に入らなかった。
I get up at 6:30.	私は六時半に起きる。
I like traveling.	私は旅行が好きです。
I made him go.	私は彼を無理にも行かせた。
I like to work.	私は働くことが好きです。
I want to see you.	私は君に会いたい。
I'm not going back.	私は帰らないわ。
I want a Toyota.	私はトヨタ車がほしい。
I do not think so.	私はそう思わない。
I have no time.	私には時間がありません。
It is not my day.	今日はついてないな。
What time is it now?	現在の時刻は？
I'll come right now.	今すぐ行くよ。
I've got to go.	行かなくてはいけません。
I'll think about it.	考えておくよ。
Come on out with it.	言っちゃえよ。
What do you like?	君は何が好きですか。
You can't go out.	外へ出てはいけない。
Where is Paris?	パリはどこにありますか。
Is Tony there?	トニー君はそこにいますか。
Where are you going?	どこへ行くの？
Where do you work?	どこで働いてるの？
That is all right.	それは申し分ない。
There! She comes!	そら、彼女が来るよ。
The work is done.	その仕事は終わった。
There you are.	そこにありますのでどうぞ。
All but Jim came.	ジム以外全員が来た。
Do it this way.	こんな風におやりなさい。
These are the ABCs.	これは基本です。
No, I don't know.	いいえ、知りません。
Who is that man?	あの男の人は誰ですか。
Get me up at eight.	８時に起こして。
I got up at seven.	７時に起きました。
Well? Will you come?	どう？来ない？
What's going on?	何が起こっているのか。
What do you think?	どう思われますか？
I was out all day.	一日中出掛けていた。
I get up at six.	僕は６時に起きるんだよ。
She took my hand.	彼女は私の手を取った。
She has gone out.	彼女は行ってしまった。
What is she like?	彼女はどんな人ですか。
I made up with her.	彼女と仲直りした。
What did she say?	彼女は何て言ったんだ？
Give him time.	彼を長い目で見てやりなさい。
They made her go.	彼らは彼女を行かせた。
They like English.	彼らは英語が好きだ。
They all have come.	彼らはみんな来た。
He's not all there.	彼は正気ではない。
He is my Mr Right.	彼は私の理想の人よ。
He came to see me.	彼は私に会いにきた。
He gave it to me.	彼は私にそれをくれた。
Did he go there?	彼はそこへ行きましたか。
Might I come in?	入っても良いでしょうか。
Who likes Tony?	誰がトニー君を好きですか。
Do what is right.	正しいことをしなさい。
I'll do my best.	出来るだけがんばります。
I don't think so.	私はそうは思いません。
I'm going to Fukui.	私は、福井に行く。
Do your very best.	死力をつくしなさい。
I'll think it over.	考え直してみるわ。
Do what you like.	好きなことをしなさい。
Do as you like.	君の好きなようにしたまえ。
I want you to go.	君に行ってもらいたい。
It's all right.	気にしなくていいんですよ。
What shall I go in?	何を着て行こうか。
I'm coming with you.	一緒に行きます。
Take your time.	ゆっくり時間を掛けなさい。
Now, what do you think?	どう思う？
How long it is!	それはなんて長いんだろう。
