I know.	分かってる。
Look out!	危ない！
Get set.	よし始め。
I give in.	私の負けだ。
I give up.	降参します。
Look back!	後ろを見ろ。
Who knows?	分からないよ。
He gave in.	彼は降参した。
Give it up.	諦めてしまえ。
Who knows?	誰が知るものか。
Look at me.	私を見なさい。
I don't know.	知らない。
You know what?	聞いてよ。
Don't give in.	負けるな。
I don't know.	知りません。
I don't know.	知らないわ。
Do I look OK?	変じゃない？
It's all over.	もうだめだ。
You changed it?	変更した？
Don't give up!	諦めないで。
All is over.	全ては終わった。
Good show!	お見事！よくやった！
I don't know.	分かりません。
Do I look OK?	おかしくない？
Good for you.	良かったですね。
Give me time.	時間をください。
I do not know.	私は知らない。
I bought it.	私はそれを買った。
Do you read me?	聞こえますか。
He looked back.	彼は後を見た。
He looks well.	彼は元気そうだ。
Please get in.	乗ってください。
Help me, please.	助けてくれ。
You've changed.	君変わったね。
Go to school.	学校へ行きなさい。
This is a map.	これは地図です。
He's looking good.	鯔背だね。
I know them.	私は彼らを知っている。
How high is it?	どのくらい高い？
I know what.	うん、いい考えがある。
He helps her.	彼は彼女を手伝います。
I know you.	私はあなたを知っています。
We buy CDs.	私たちは、ＣＤを買います。
Please back me up!	応援してね！
He has given up X.	彼がXを諦めた
Look about you.	辺りをよく見なさい。
He is well off.	彼は暮し向きが良い。
He can't read it.	彼は読めません。
He looked well.	彼は元気そうだった。
Look about you.	周りを見渡しなさい。
Do you know me?	私を知っていますか。
Don't look back.	後ろを振り返るな。
Oh! Show me how.	あっ！教えてくれ。
Have a good time.	楽しんできてね。
For here, please.	ここで食べます。
When are you off?	いつ出発するの？
I took to her.	僕は彼女が好きになった。
They know us.	彼らは私達を知っています。
He has changed.	彼は変わってしまった。
Please take one.	自由にお持ち下さい。
Please help me.	私を手伝ってください。
I know them.	私は彼女たちを知っています。
Know who you are.	己が誰なのか知れ。
Look about you.	君のまわりを見なさい。
Have a good time.	楽しいひとときを。
Do you like music?	音楽が好きなの？
How should I know?	俺は知らないよ。
Order, please.	みなさん、どうか静粛に。
The show is over.	その劇は終わった。
I'll get off here.	ここで降ります。
I've had a show.	おしるしが出ました。
SOS, please help!	ＳＯＳ助けてくれ。
Give me five days.	五日待ってくれ。
5 is less than 8.	５は８より少ない。
Who'd know that?	誰がそれを知ろうか。
Do you know her?	彼女を知っていますか。
He sees no company.	彼は面会謝絶だ。
Please look for it.	探してください。
Who knows that?	誰が知っているだろうか。
Good for Nobuyuki.	信行君良かったね。
Look about you.	周りを見てごらんなさい。
Please look at me.	私を見てください。
I saw her home.	私は彼女を家まで送った。
I'm not going back.	私は帰らないわ。
We like music.	私たちは、音楽が好きです。
You're looking good!	元気そうだね。
We're goin' home.	家に帰るんだよ僕ら。
What did you buy?	何を買ったのですか。
Do you like music?	音楽は好きですか。
I'm getting high.	ほろ酔い気分ですよ。
OK, I'll order it.	じゃあ注文します。
No, I don't know.	いいえ、知りません。
You know what it is.	言わずもがなだ。
I made up with her.	彼女と仲直りした。
They made her go.	彼らは彼女を行かせた。
He gave it to me.	彼は私にそれをくれた。
He has a video.	彼はビデオを持っています。
He looked about.	彼はあたりをみまわした。
You're just on time.	時間どおりです。
We looked for her.	私達は彼女を探した。
I know your name.	君の名前は知っている。
Who is this, please?	どちら様ですか。
I'm just looking.	ただ見ているだけです。
I'm taking off now.	そろそろ行くわね。
How high is it?	それの高さはいくらですか。
Prices are high.	インフレが進んでいます。
That is my school.	あれが私の学校です。
He knows my name.	彼は私の名前を知っている
No news is good news.	無事に便りなし。
I like all of them.	彼らがみんな好きだ。
He has given out.	彼は疲れ果ててしまった。
