I run.	私は走ります。
Let's go!	行くよ。
I do run.	私は走る。
Open up.	開けてくれ。
I mean it!	本気だよ。
Let me see.	えっと。
I love you.	愛してる。
Keep out!	立ち入り禁止。
Let me in.	中に入れて。
Let's go!	行きましょう。
Is this love?	恋かな？
Keep out.	立ち入りを禁ず。
He does run.	彼は走る。
He did run.	彼は走った。
Let me in.	中に入れてよ。
I love you.	大好きだよ！
Let me out!	出してくれ。
Let me go!	私に行かせて。
I love you.	君が好きだ。
Let me say.	一言言いたい。
Mary ran.	メアリーは走った。
Let's go!	まあ行ってみよう。
You do run.	あなたは走る。
Get up early.	早く起きろ。
By all means.	是非どうぞ。
I am human.	私は、人間です。
Do something!	何とかしろ！
I understand.	了解しました。
I understand.	分かってるよ。
He is human.	彼は、人間です。
You are early.	早かったね。
Don't let go.	手を離すなよ。
Good question!	よい質問だ。
By all means.	どうぞどうぞ。
Keep it up!	その調子で続けて。
I love you.	あなたを愛してる。
I love you.	あなたが好きです。
I can't move.	動けないのです。
Large or small?	大か、小か。
I mean it.	本気で言ってるんです。
Let me go!	私に行かせてください。
Let go of me!	私から手を離せ！
I found you.	僕は君をみつけた。
It's your move.	君の番だよ。
I was moved.	とても感動したわ。
Do you love me?	僕のこと好き？
She is human.	彼女は、人間です。
He loves her.	彼は彼女が好きだ。
Is he at home?	彼は家にいるか。
He was at home.	彼は家にいた。
Let me do this.	手伝ってやる。
Do you love me?	私を愛してる？
I love Hitomi.	私は瞳が好きだ。
I love you.	私は、貴方が好きです。
I love you.	君のことが好きなんだ。
How many people?	何人ですか。
I love you.	だって好きなんだもの。
Keep it up.	その調子でがんばって。
By all means.	ぜひお願いします。
That means X.	それがXを意味します
She came last.	彼女は最後にきた。
Let him at it.	彼にやらせておけ。
Let's live it up!	道楽しよう。
All are present.	全員出席です。
I want to live.	私は命がほしい。
I love her.	私は彼女に恋をしている。
I got up early.	私は早く起きた。
I love you.	私はあなたを愛している。
I let him go.	私は、彼を行かせた。
Give me a few.	私に少しください。
We are human.	私たちは、人間です。
You are human.	貴方は、人間です。
I am at home.	わたしは、在宅です。
Let me see that.	それを見せて。
Don't run here.	ここでは走るな。
Is he at home?	彼は家にいますか。
What's its name?	名前は何ですか。
They are human.	彼らは、人間です。
I want some water.	水が欲しい。
I like to run.	私は走るのが好きだ。
You are human.	貴方達は、人間です。
Let us go home.	家へ帰りましょう。
Keep the change!	つりは要らんよ。
People think so.	人には、そう見える
My level is low.	自分のレベルが低い
Is she at home?	彼女は家にいますか。
Is he at home?	彼は在宅していますか。
Let him do it.	彼にそれをさせなさい。
P. S. I love you.	追伸愛してます。
How about running?	走りませんか。
I run every day.	私は毎日走ります。
Can you find it?	見つけられますか。
Never let me go.	決して放さないで。
Keep away from me.	俺に近づくな。
Let me see it.	ちょっと見せて下さい。
Let me see it.	それ、ちょっと見せて。
I do love you.	あなたが好きなのです。
This is Room 839.	８３９号室です。
