I try.	頑張ってみる。
Not bad.	悪くないね。
Stand up!	立ちなさい。
We try.	私たちは、試す。
She walks.	彼女は歩く。
I'm poor.	私は貧乏です。
I choose X.	Xを私が選ぶ
X is a pain.	Xが面倒だ
She tried.	彼女は試した。
He is poor.	彼は貧しい。
It's late.	もう遅いわよ。
X is natural.	Xが自然だ
I am a boy.	私は少年です。
Fire! Run!	火事だ！逃げろ！
X is a pain.	Xがなんか嫌だ
Take it easy.	落ち着けよ。
You are late.	遅刻したね。
Time for bed.	寝る時間よ。
Don't touch.	手を触れるな。
I am a boy.	私は男の子です。
See you later!	また後で。
Whose is this?	これ誰の？
X is natural.	Xが当たり前だ
Keep in touch.	連絡してね。
He is eating.	彼は食事中だ。
Don't be late.	遅れるなよ。
Try hard.	精一杯やってみなさい。
I'm easy.	私はどうでも構わない。
I took a walk.	散歩をした。
Take it easy!	気軽にいこう。
That a boy!	そうそうその調子。
That's a lot!	スゴイ量だね！
Cut it out.	いい加減にしろよ。
He tries to X.	彼がXを試みる
Take it easy.	無理しないでね。
It's the truth.	本当ですよ。
What a pain!	納得いかないなあ。
Are you single?	独身ですか。
That's too bad.	残念ですが。
Do you remember?	覚えてる？
What happened?	何があったの？
Take it easy.	のんびり行こう。
Whose go is it?	だれの番だ。
I want a lot.	たくさん欲しい。
What happened?	何が起きたの？
I'm a teacher.	私は教師です。
It's necessary.	必要が有ります
He will try X.	彼がXに挑戦する
Keep in touch!	連絡ちょうだい！
I want to sleep.	僕は寝たい。
Leave me alone!	放っておいて。
Shall we walk?	歩きましょうか。
Keep in touch.	便りをください。
He will walk.	彼は歩くつもりだ。
He came by car.	彼は車で来た。
He's a big boy.	彼は大物だぜ。
Open the window.	窓を開けて。
Let's go by car.	車で行こう。
I am a teacher.	私は先生です。
How's your job?	仕事どうなの？
Take it easy.	気楽にやりなさい。
That's too bad.	気の毒ですね。
Put out the fire.	火を消せ。
The fire is out.	火が消えた。
What happened?	何が起こったの？
Want a drink?	一杯いかがですか。
Try again.	もう１度やってみなさい。
Don't touch it.	それに触るな。
Get me the key.	キーを取って。
I did X myself.	Xを私自身がした
X was chosen.	Xに決定を致しました
I like X a lot.	Xが大変気に入る
X was suggested.	Xが示唆された
Let go of my arm!	腕を放して。
Keep in touch!	連絡を取り合おう。
I can't sleep.	眠れないんですよ。
I'll stay home.	僕は家にいるよ。
Is everything OK?	変わりない？
The price rose.	物価が上がった。
He stood up.	彼は立ち上がりました。
He has a car.	彼は車を持っている。
He is a teacher.	彼は教師です。
He is alone.	彼は一人っきりである。
He is lying.	彼はうそをついている。
It's my brother's.	弟のです。
My brother did.	弟が描きました。
The town slept.	町は眠っていた。
Perhaps not.	多分、だめだったろう。
Close the window.	窓を閉めて。
Go home quickly.	早く帰宅しろ。
Eat everything.	全部食べなさい。
I used to a lot.	昔はよくした。
I like sleeping.	寝るのが好き。
Learn a trade.	手職を身につける。
Get into the car.	車に乗って。
We want a car.	私達は車が欲しい。
Leave me alone.	私を１人にして。
I am off today.	今日は休みです。
Blood will tell.	血は争えない。
Your face is red.	顔が赤いよ。
Some were late.	何人か遅刻した。
You are lying.	嘘をついているね。
How about a drink?	一杯どう？
See you next week!	また来週！
It was so dark.	とても暗かった。
It is necessary.	それは必要だ。
That's too bad.	それは困ったね。
May I cut in?	お話し中すみません。
Don't tell lies.	うそを言うな。
I can only wait.	待つしかない。
It's easy to use.	使い勝手が良い
It is necessary.	必要が御座います
Is X that bad?	Xがそんなに悪いのか
Keep in touch.	連絡をとりつづけて。
It's interesting.	面白いですね。
She came alone.	彼女は一人で来た。
He began to run.	彼は走り出した。
Is he a teacher?	彼は先生ですか。
He lied to me.	彼は私に嘘をついた。
He walked home.	彼は家まで歩いた。
He was alone.	彼は一人ぼっちだった。
He talks a lot.	彼はよくしゃべる。
He eats a lot.	彼はたくさん食べる。
Why not try it on?	着てみない？
I can't stand it.	耐えられない。
Open the window.	窓を開けなさい。
I can't reach it.	手が届かない。
May I try it on?	試着できますか。
I need some paper.	紙がほしい。
We are teachers.	私達は先生です。
I myself did it.	私自身がやった。
I broke my arm.	私は腕を骨折した。
I can't stand up.	私は立てない。
I walked alone.	私は独りで歩いた。
Let me alone.	私のことはほっといて。
I fear so.	残念ながらどうもそうらしい。
Open your mouth.	口をあけなさい。
What's your wish?	君の願いは何？
It is dark outside.	外は暗い。
How is the wife?	奥さんはお元気？
Choose the one.	一人を選んでくれ。
It is already dark.	もう暗い。
I'll call later.	また電話します。
What's happening?	どう、調子は？
See you later!	では又会いましょう。
Shall we begin?	さぁ始めましょう。
This is my car.	これが私の車です。
Now I remember.	ああ思い出したぞ。
He was standing.	彼は立っていた。
Today is Sunday.	今日は日曜日だ。
Do it quickly.	さっさとやりなさい。
I have a son.	私には、息子が一人います
It's too bad that X.	Xが悔しい
Let go of my arm.	腕を放してくれ。
The tree fell down.	木が倒れた。
I stood for him.	僕は彼を支持した。
She is a teacher.	彼女は先生です。
He began running.	彼は走り始めた。
He tries hard.	彼は一生懸命がんばる。
He is a bad boy.	彼はいけない子だ。
He acts quickly.	彼は動作がはやい。
It's too difficult.	難しすぎる。
We must not be late.	遅れるな。
I'm late, aren't I?	遅れたかな？
I'll wait for you.	待ってあげる。
May I go to bed?	寝てもいいですか。
I myself saw it.	私自身それを見た。
I stay in Osaka.	私は大阪在住です。
I have a car.	私は自動車を持っている。
I got my hair cut.	私は散髪した。
I'm free today.	私は今日はひまです。
He is my brother.	彼は私の兄です。
Blood will tell.	血は争えぬものだ。
