Wrong.	違うんだ。
Trust me!	任せて！
Search me.	さあね。
See below.	下を見ろ。
I wrote it.	私が書いた
I'm fine.	私は元気です。
I trust you.	任せるよ。
Nor can I.	私もできない。
Forget it.	気にしないで。
Please come.	来て下さい。
He is happy.	彼は幸せだ。
I wonder who.	誰かしら。
Time flies.	時早く過ぎる。
Nor am I.	私もそうなのです。
I am happy.	私は幸福です。
I feel cold.	寒気がする。
How fast!	何て速いんだろう。
He grew old.	彼は年老いた。
I trust you.	信じているよ。
Plants grow.	植物が生える。
I feel happy.	私は幸せだ。
Don't worry.	心配しないで。
I'll be fine.	大丈夫です。
X was wrong.	Xがいけなかった
It proves X.	それがXを証する
I feel fine.	僕はいい気分だ。
He grew old.	彼は年を取った。
Years passed.	年月が経った。
Fine. And you?	うん、君は？
Don't be a dog.	卑屈な奴。
Get the dream.	夢をつかめ！！
She is happy.	彼女は幸せです。
Forget him.	彼の事は忘れなさい。
I will join it!	出席します。
Time presses.	時間が押してる。
I'm fine too.	私も元気ですよ。
I felt cold.	私は寒いと感じた。
I forgot it.	私はそれを忘れた。
I bought it.	私はそれを買った。
I like dogs.	私は犬が好きです。
Check it out!	君も見てごらん！
Without a doubt!	疑い無く！
I hear music.	音楽が聞こえる。
Happy New Year!	よいお年を。
All are happy.	みんな幸せだ。
I wonder why.	なぜなんだろう。
I'm worn out.	つかれ果てたよ。
This is a dog.	これは犬です。
Ken is happy.	ケンは幸福です。
Ken is happy.	ケンは幸せです。
You are wrong.	お前が悪いよ。
That is mine.	あれが私のです。
Check, please.	勘定書を頼むよ。
Are you ready?	用意はいいかい。
Close your eyes.	目を閉じて。
I'm patient.	僕は我慢強いたちだ。
He seems kind.	彼は親切そうだ。
Get on a horse.	馬に乗せてよ。
Don't worry.	心配しなくていいよ。
Please get in.	乗ってください。
Help me, please.	助けてくれ。
Time flies.	時は飛ぶように過ぎる。
I am ready.	私は覚悟ができている。
I saw a dog.	私は一匹の犬を見た。
We are happy.	私たちは幸福です。
Are you happy?	君は幸せですか。
Am I wrong?	俺は間違っているのか。
It saved me.	おかげで助かったよ。
I feel happy.	私は幸せに感じる。
Call the police!	警察を呼んで！
Open your eyes.	目を開けなさい。
Open your eyes.	目を開きなさい。
Their eyes met.	目と目が合った。
Dreams came true.	夢は叶った。
I'm so happy.	僕はとてもうれしい。
Listen to this!	聞いて、聞いて！
I have a cold.	風邪をひきました。
It's just a cold.	風邪ですね。
She is beautiful.	美人だなあ。
She felt blue.	彼女は憂鬱だった。
She has brains.	彼女は頭がよい。
They are happy.	彼らは幸せです。
He writes books.	彼は作家です。
He has a dog.	彼は犬を飼っている。
Cross the street.	通りを渡れ。
Time flies.	時のたつのは早いものだ。
I have a dog.	私は犬を飼っている。
My dog is white.	私の犬は白い。
We got ready.	私たちは用意をした。
I was wrong.	私が間違っていました。
Please don't die!	死なないで。
How time flies!	光陰矢のごとし。
What a surprise!	何という驚き。
Check, please.	お勘定して下さい。
I can only wait.	待つしかない。
He is determined.	彼が意を決する
Stand up, please.	立って下さい。
Close your eyes.	目を閉じなさい。
Open your eyes.	目を開けてみろよ。
Don't trust him.	彼を信用するな。
He was ruled out.	彼は問題外だ。
He can run fast.	彼は速く走れる。
He was patient.	彼は辛抱強かった。
He's beyond help.	彼は救い難い。
He killed him.	彼はその男を殺した。
The waves are high.	波が高い。
There is no doubt.	絶対確実だ。
Check, please.	清算をお願いします。
Do it yourself.	自分でやりなさい。
We buy CDs.	私たちは、ＣＤを買います。
It's cold today.	今日は寒いです。
I'm doing fine.	元気でやってるよ。
No pain, no gains.	苦は楽の種。
You look green.	顔色がよくないよ。
How is everyone?	皆さんはお元気？
Please back me up!	応援してね！
It's very cold.	ひどく冷えるなあ。
Speak clearly.	はっきり話しなさい。
What a surprise!	なんとゆう驚き。
That's the spirit.	その調子だ。
I like the dog.	その犬が好きです。
Grow up, Joe.	ジョー、大人になれよ。
I broke a glass.	グラスを割った。
Please be seated.	お座り下さい。
Nothing special.	いや特にないわ。
This is my dog.	あれは私の犬です。
You were mine.	あなたは私の物です。
What was wrong?	何が悪かったんだろう
I regard it as X.	Xだと私が見做す
I'm worried about X.	Xが心配だ
Close your eyes.	目を閉じてごらん。
Dreams come true.	夢はかないます。
How's your sister?	妹さんは元気？
May I join you?	僕も一緒にしていい？
I have a cold.	僕は風邪を引いている。
She avoids me.	彼女は私を避けている。
She looks happy.	彼女は幸せそうだ。
He was ruled out.	彼は除外された。
He got me wrong.	彼は私を誤解した。
He has a cold.	彼は風邪をひいている。
He died suddenly.	突然彼は死んだ。
I feel just fine.	特別いい気分だ。
Answer the phone.	電話にでなさい。
The earth is round.	地球は丸い。
How you've grown!	大きくなったね。
I'll wait for you.	待ってあげる。
Get ready quickly.	早く用意して。
Over my dead body.	絶対にダメだ。
Hold on, please.	少々お待ち下さい。
I keep a dog.	私は犬を一匹飼ってます。
I'm very happy.	私はとても幸福です。
I have a dream.	私には夢があります。
It's fine today.	今日は天気が良い。
Attention please!	御知らせします。
The dog is dead.	犬は死んでいるよ。
What a surprise!	驚いたなあ・・・。
Please make sure.	確かめてくれよ。
The sea is down.	海が静かになった。
Give me some skin!	握手しようぜ！
I'm dead to love.	愛情を感じない。
Lynn runs fast.	リンは走るのが速い。
All were happy.	みんなが喜んでいた。
Tony was happy.	トニーは幸せでした。
Its color is red.	それの色は赤い。
This is a picture.	これは絵です。
This dog is big.	この犬、大きいよ。
For here, please.	ここで食べます。
I have a cold.	かぜを引いているんだ。
Watch yourself.	お行儀が悪いですよ。
That dog is big.	あのイヌは大きい。
We enjoy talking.	話を楽しんでいる。
No pain, no gain.	労なくして益なし。
The food is cold.	料理が冷えてます。
Happy New Year!	明けましておめでとう。
How is your cold?	風邪の具合はどう？
The wind has fallen.	風が凪いだ。
They seem happy.	彼らは幸せそうです。
He is a work horse.	彼は働き者だ。
My brain is full.	頭の中がいっぱい。
Keep early hours.	早寝早起きをする。
Some water, please.	水をください。
The floor gave way.	床が崩壊した。
Please take one.	自由にお持ち下さい。
Please help me.	私を手伝ってください。
Send me there.	私をそこにやって下さい。
I bought a book.	私は本を買いました。
I wrote a letter.	私は手紙を書いた。
I have a dog.	私は１匹の犬を飼っている。
My dogs are white.	私の犬達は白い。
I booked a seat.	座席を予約しました。
It is fine today.	今日はいい天気だ。
Save your breath.	言わなくていいよ。
Keep the dog out.	犬を中に入れるな。
No dogs allowed.	犬の連れ込みを禁ず。
Ken's dog is white.	健の犬は白い。
Check, please.	勘定書を持ってきてくれ。
Go to your posts.	各自の部署に就け。
I listen to music.	音楽を聴きます。
Do you like music?	音楽が好きなの？
Apply within.	応募の方はお入りください。
Please try one.	一度食べてみて下さい。
How happy I am!	わたしはとても楽しい。
Order, please.	みなさん、どうか静粛に。
I'm feeling fit.	ぼくはすごく元気だ。
Tom can run fast.	トムは速く走れる。
How complex?	どのぐらい複雑なのだろうか。
I feel very cold.	とても寒いですね。
Which is mine?	どちらが私のものですか。
Please come in.	どうぞ、お入り下さい。
The dog is white.	その犬は白いです。
May you be happy!	ご多幸を祈ります。
Help yourself.	ご自由にお取りください。
This doesn't fit.	これは合いません。
That car is mine.	あの車は私のです。
SOS, please help!	ＳＯＳ助けてくれ。
I wonder about X.	Xの方がどうかと思う
He takes pictures.	彼が写真を撮影する
That's the spirit.	良し、その意気で。
We keep late hours.	夜更かしをする。
The wind died away.	風がおさまった。
How many samples?	標本はいくつですか。
She is cold to me.	彼女は私に冷淡だ。
She became happy.	彼女は幸福になった。
She looks happy.	彼女は幸せに見えます。
You can trust him.	彼を信用していい。
He waits on her.	彼は彼女に仕えている。
He has a good brain.	彼は頭がいい。
