I like tea.	私はお茶が好きです。
I don't care for green tea.	私はお茶が好きじゃない。
I would like tea or coffee.	私はお茶かコーヒーが飲みたい。
I want a cup of tea.	私はお茶が１杯ほしい。
I like fruits such as oranges and apples.	私はオレンジやりんごのような果物が好きだ。
I like oranges very much.	私はオレンジが大好きです。
I live next door to the toy shop.	私はおもちゃ屋の隣に住んでいます。
I want to be a pilot when I grow up.	私はおとなになったらパイロットになりたい。
I always keep a promise.	私はいつも約束を守る。
I always have trouble remembering names.	私はいつも名前を思い出すのに苦労する。
I always have a look at the newspaper before breakfast.	私はいつも朝食前に新聞に目を通す。
I was always good at math.	私はいつも数学が得意でした。
I usually have dinner at seven.	いつもは７時に夕食をとるんです。
Eleven o'clock is my regular time for going to bed.	私はいつも１１時に就寝します。
I always try to tell the truth.	私はいつでも真実を言うように心がけている。
I'd like to play tennis with you some day.	私はいつかあなたとテニスをしたい。
I agree with what you say to some extent.	私はある程度まで君の意見に賛成します。
I agree with you to a certain extent.	私はある程度まで君に賛成だ。
I can understand French to a certain extent.	私はある程度フランス語を理解できる。
I agree with you to some extent.	私はある程度は君に賛成だ。
I stand for freedom of speech for everyone.	私はあらゆる人の言論に賛成だ。
I stand for freedom of speech for everyone.	私はあらゆる言論の自由に賛成だ。
I like reading American novels.	私はアメリカの小説を読むのが好きだ。
I realized something about American children.	私はアメリカの子供について気づいたことがある。
Don't go too far ahead of me.	私はあまり先を行ってはいけません。
I don't care for flowers very much.	私はあまり花が好きではないのです。
I don't enjoy tennis.	私はあまりテニスがすきではありません。
I live in an apartment.	私はアパートに住んでいます。
I bet ten dollars on that horse.	私はあの馬に１０ドル賭けた。
I can't remember the tune of that song.	私はあの歌のメロディーが思い出せない。
I object to being treated like that.	私はあのように扱われるのはいやだ。
I don't want to get you into trouble.	私はあなたの迷惑になるようなことはしたくないのです。
I read your letter yesterday.	私はあなたの手紙を昨日読みました。
I received your letter yesterday.	私はあなたの手紙を昨日受け取りました。
I like that tie of yours.	私はあなたのネクタイが気に入っている。
I want to make friends with your sister.	私はあなたのお姉さんと友達になりたい。
I can understand you to some extent.	私はあなたのいうことはある程度わかります。
I like that tie of yours.	私はあなたのあのネクタイが気に入っている。
I'll tell you the truth.	私はあなたに本当の事を話そう。
I want you to tell me the truth.	私には本当のことを話してもらいたい。
I'd better tell you the truth.	あなたには真実を話したほうがいいですね。
I want you to wash the car.	私はあなたに車を洗ってもらいたいです。
I find it difficult to talk to you about anything serious.	私はあなたにまじめなことについて話すのは難しいと思う。
I agree with you to some extent.	私はあなたにある程度は同意できる。
I have the same trouble as you have.	私はあなたと同じ問題を抱えています。
I have the same trouble as you had.	私はあなたが味わったのと同じ苦しみに悩んでいる。
