You may go there.	君はそこに行ってもよい。
You shouldn't have gone there.	君は、そこに行かなかったほうが良かった。
You should have done so.	君はそうすべきだった。
When will you be free?	君はいつ暇になりますか。
Can you do it in one day?	君は１日でそれができますか。
It is better for you to do it now.	君は、今それをやる方が良い。
What are you getting at?	君の狙いはなんなのだ。
I don't need your help.	君の助けはいらない。
What do you do?	君の仕事は何ですか。
Do as you like.	君の好きなようにしたまえ。
That is no business of yours.	君の関する事柄ではない。
What are you getting at?	君のねらいは何なのだ？
You got me!	君には参るよ。
You have no business doing it.	君にはそんなことをする権利は無い。
You have no business doing it.	君にそんなことをする権利はない。
You should have seen it.	君にそれを見せたかった。
I'd like to go with you, but as it is I can't.	君と一緒に行きたいが実際には行けない。
Any of you can do it.	君たちのうち誰でもそれはできる。
I need you.	君が必要だ。
This is all you have to do now.	君が今しなければならないのはこれだけだ。
You go first.	君から始めなさい。
You go first.	君がまずさきに行ってくれ。
How are you these days?	近頃はいかがですか。
How do you like Kyoto?	京都はいかがですか。
You can take your time.	急がなくてもいいよ。
We'd better make some time.	急いでいかなくちゃ。
Miyazaki is not what it used to be.	宮崎は昔の姿とは違う。
I will help you all I can.	及ばずながらお手伝いしましょう。
Take your time, Yoshida.	吉田、ゆっくりやれよ。
You are the only one.	貴方達は、一つです。
You like Kawaguchi.	貴方は、川口が好きです。
Like it?	気に入ってる？
You can go home if you like.	帰宅したいなら帰宅してもいいですよ。
I like it better now that I'm used to it.	慣れてみると、そのほうが好きになりました。
Business is business.	勘定は勘定。
Go to your posts.	各自の部署に就け。
Didn't you go out?	外出しなかったのですか。
You can't go out.	外へ出てはいけない。
Get out.	外に出ろ。
He would not go out.	外に出ようとしない。
We work by the day.	我々は日ぎめで働く。
There are seven of us.	我々は全部で、７人です。
My name is Hopkins.	我が名はホプキンス。
What do you do in your free time?	暇なときは何をしていますか。
I will take you home.	家まで送ろう。
What is the price?	価格はいくらですか。
Do you have any CDs?	何枚かＣＤを持っていますか。
When do I get there?	何時に着きますか。
What time do you get up?	何時に君は起きるの。
When did you get up?	何時に起きましたか。
What time can I be there?	何時にそこに行けばいい。
What time shall we make it?	何時にしましょうか。
What time?	何時にきましょうか。
What time is it?	何時でしょうか。
About what time?	何時ごろ。
What did you go there for?	何故そこへ行ったのですか。
What shall I go in?	何を着て行こうか。
What did you make?	何を作ったの？
What are you getting at?	何を言おうとしているの。
What are you getting at?	何を言いたいの。
What are you going to see?	何を見るつもりですか。
What are you about?	何をやっているのですか。
What are you about?	何をしているのですか。
What are you doing?	何をしているの。
What are you doing here?	何をしているこんな所で？
May I help you?	何をさし上げましょうか。
May I help you ma'am?	何をさしあげましょうか、奥様。
What are you getting at?	何をおっしゃりたいのですか。
What do I have?	何の病気ですか。
What are you working for?	何のために働いているのですか。
What did you go there for?	何のためにそこへいったのか。
For what?	何のために？
What for?	何に使うの？
Could you make time for me?	何とか時間の都合をつけてもらえませんか。
We made it out of there.	何とかそこから脱出した。
What's it made from?	何でできているの？
What is it?	何ですか。
What are you going to do?	何するつもり。
