We named the dog White.	私たちはその犬をホワイトと名付けた。
We stayed there for three months.	私たちはそこに３ヶ月滞在しました。
We want to learn some Spanish songs.	私たちはスペインの歌を習いたいと思っている。
We've already done our work.	私たちはすでに仕事をしてしまった。
We have already learned English.	私たちはすでに英語を学んでしまいました。
We had a chat for a while.	私たちはしばらくおしゃべりをした。
We only have simple wants.	私たちはささやかな望みしかありません。
We must deal with this problem.	私たちはこの問題を処理しなくてはならない。
We have dealt with this store for 16 years.	私たちはこの店と１６年間取り引きをしている。
We have lived in this town for five years.	私たちはこの町に５年間住んでいる。
We are about to leave here.	私たちはここを去ろうとしている。
We should be kind to each other.	私たちはお互い同士親切にすべきだ。
We had a heart-to-heart talk with each other.	私たちはお互いに腹を割った話し合いをした。
We can cut down on our use of energy.	私たちはエネルギーの使用を減らすことができます。
We always begin with the hardest problems.	私たちはいつも困難な問題から始まる。
We usually talked in English.	私たちはいつも英語で話した。
We are here in the name of Jesus Christ and King Charles.	私たちはイエス・キリストとチャールズ王の名のもとにここにきました。
We put all the resources to use in writing up this paper.	私たちはあらゆる素材を利用して、この書類を書き上げた。
We believe in that man.	私たちはあの男とこの人を信頼しています。
We all stand by you to the last.	私たちはあなたを最後まで支持します。
We're hoping you'll support us.	私たちはあなたにご援助いただけるものと期待しておりますが。
We met in Europe a few years ago.	私たちは２、３年前にヨーロッパで出会った。
We have lived in this town since 1960.	私たちは１９６０年以来この町に住んでいます。
We must go there whether we like it or not.	私たちは、好むと好まざるとに関らず、そこ行かねばなりません。
We passed the time playing pachinko.	私たちは、パチンコをして時を過ごした。
We are leaving this country for good.	私たちは、この国を永遠に去ります。
What is that big building in front of us?	私たちの目の前にある建物は何ですか。
We did everything for our part.	私たちの方であらゆることをした。
Let's clean our room.	私たちの部屋をそうじしましょう。
Our town is on the East Side of the river.	私たちの町はその川の東岸にある。
There is a large river near our town.	私たちの町の近くに大きな川がある。
There is a large lake near our town.	私たちの町の近くに大きな湖がある。
There are many parks in our town.	私たちの町にはたくさんの公園がある。
What is that in front of us?	私たちの前にある大きな建物は何ですか。
